[2026-01-10 12:00:00] INFO   APIManager: API Gateway starting
[2026-01-10 12:00:01] INFO   APIManager: Rate limiting enabled
[2026-01-10 12:30:00] WARN   APIManager: Request rate increasing (75% of quota)
[2026-01-10 12:45:00] WARN   APIManager: Request rate at 90% of quota
[2026-01-10 13:00:00] ERROR  APIManager: Quota exceeded - requests being throttled
[2026-01-10 13:00:01] ALERT  APIManager: High request volume detected
[2026-01-10 13:00:02] ERROR  APIManager: Rate limit exceeded for API endpoint /v1/orders


[2026-01-11 02:33:52] ALERT  DevopsAgent: High request volume detected. Increasing quota.
[2026-01-11 02:33:52] INFO   APIManager: Quota increase request submitted.
[2026-01-11 02:33:52] INFO   APIManager: Quota successfully increased to 150% of previous limit.
